{'latitude': 40.6346817, 'longitude': -8.6599551, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346817, 'longitude': -8.6599551, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346816, 'longitude': -8.6599552, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346815, 'longitude': -8.6599552, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346815, 'longitude': -8.6599553, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346815, 'longitude': -8.6599553, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346815, 'longitude': -8.6599554, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346814, 'longitude': -8.6599555, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346814, 'longitude': -8.6599555, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346813, 'longitude': -8.6599556, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346813, 'longitude': -8.6599556, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346813, 'longitude': -8.6599556, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346812, 'longitude': -8.6599557, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346812, 'longitude': -8.6599557, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346812, 'longitude': -8.6599558, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346812, 'longitude': -8.6599559, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346811, 'longitude': -8.6599559, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346811, 'longitude': -8.6599559, 'heading': 132, 'speed': 0.3},
{'latitude': 40.634681, 'longitude': -8.6599559, 'heading': 132, 'speed': 0.3},
{'latitude': 40.634681, 'longitude': -8.659956, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346809, 'longitude': -8.659956, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346809, 'longitude': -8.659956, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346809, 'longitude': -8.6599561, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346809, 'longitude': -8.6599562, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346809, 'longitude': -8.6599562, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346809, 'longitude': -8.6599563, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346815, 'longitude': -8.6599572, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346875, 'longitude': -8.6599659, 'heading': 132, 'speed': 0.6},
{'latitude': 40.6346986, 'longitude': -8.6599825, 'heading': 132, 'speed': 0.6},
{'latitude': 40.634707, 'longitude': -8.6599957, 'heading': 137, 'speed': 0.6},
{'latitude': 40.6347121, 'longitude': -8.6600044, 'heading': 137, 'speed': 0.6},
{'latitude': 40.6347146, 'longitude': -8.6600086, 'heading': 131, 'speed': 0.3},
{'latitude': 40.6347159, 'longitude': -8.660011, 'heading': 134, 'speed': 0.3},
{'latitude': 40.6347171, 'longitude': -8.6600135, 'heading': 135, 'speed': 0.3},
{'latitude': 40.634718, 'longitude': -8.6600151, 'heading': 139, 'speed': 0.3},
{'latitude': 40.6347189, 'longitude': -8.6600169, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6347203, 'longitude': -8.6600195, 'heading': 131, 'speed': 0.3},
{'latitude': 40.6347236, 'longitude': -8.660025, 'heading': 129, 'speed': 0.6},
{'latitude': 40.6347265, 'longitude': -8.6600304, 'heading': 129, 'speed': 0.6},
{'latitude': 40.6347306, 'longitude': -8.6600379, 'heading': 126, 'speed': 0.6},
{'latitude': 40.6347349, 'longitude': -8.6600457, 'heading': 127, 'speed': 0.6},
{'latitude': 40.6347363, 'longitude': -8.6600485, 'heading': 128, 'speed': 0.3},
{'latitude': 40.6347363, 'longitude': -8.6600487, 'heading': 128, 'speed': 0.3},
{'latitude': 40.6347362, 'longitude': -8.6600489, 'heading': 128, 'speed': 0.3},
{'latitude': 40.6347361, 'longitude': -8.6600491, 'heading': 128, 'speed': 0.3},
{'latitude': 40.634736, 'longitude': -8.6600492, 'heading': 128, 'speed': 0.3},
{'latitude': 40.6347359, 'longitude': -8.6600492, 'heading': 128, 'speed': 0.3},
{'latitude': 40.6347359, 'longitude': -8.6600493, 'heading': 128, 'speed': 0.3},
{'latitude': 40.6347358, 'longitude': -8.6600493, 'heading': 128, 'speed': 0.3},
{'latitude': 40.6347369, 'longitude': -8.6600514, 'heading': 127, 'speed': 0.3},
{'latitude': 40.6347386, 'longitude': -8.6600546, 'heading': 126, 'speed': 0.3},
{'latitude': 40.6347415, 'longitude': -8.6600597, 'heading': 128, 'speed': 0.6},
{'latitude': 40.6347452, 'longitude': -8.6600657, 'heading': 129, 'speed': 0.6},
{'latitude': 40.6347516, 'longitude': -8.6600759, 'heading': 129, 'speed': 0.6},
{'latitude': 40.6347579, 'longitude': -8.6600866, 'heading': 124, 'speed': 0.6},
{'latitude': 40.6347628, 'longitude': -8.6600986, 'heading': 115, 'speed': 0.6},
{'latitude': 40.6347672, 'longitude': -8.66011, 'heading': 118, 'speed': 0.6},
{'latitude': 40.6347718, 'longitude': -8.6601207, 'heading': 119, 'speed': 0.6},
{'latitude': 40.6347768, 'longitude': -8.660133, 'heading': 115, 'speed': 0.6},
{'latitude': 40.6347815, 'longitude': -8.660147, 'heading': 112, 'speed': 0.6},
{'latitude': 40.6347856, 'longitude': -8.6601612, 'heading': 106, 'speed': 0.6},
{'latitude': 40.6347881, 'longitude': -8.6601766, 'heading': 98, 'speed': 0.6},
{'latitude': 40.6347896, 'longitude': -8.6601899, 'heading': 97, 'speed': 0.6},
{'latitude': 40.6347905, 'longitude': -8.6602028, 'heading': 91, 'speed': 0.6},
{'latitude': 40.6347899, 'longitude': -8.660218, 'heading': 85, 'speed': 0.6},
{'latitude': 40.634789, 'longitude': -8.6602326, 'heading': 86, 'speed': 0.6},
{'latitude': 40.6347892, 'longitude': -8.6602475, 'heading': 98, 'speed': 0.6},
{'latitude': 40.6347914, 'longitude': -8.6602558, 'heading': 117, 'speed': 0.6},
{'latitude': 40.6347924, 'longitude': -8.6602579, 'heading': 126, 'speed': 0.3},
{'latitude': 40.6347925, 'longitude': -8.6602578, 'heading': 121, 'speed': 0.3},
{'latitude': 40.6347929, 'longitude': -8.6602585, 'heading': 124, 'speed': 0.3},
{'latitude': 40.6347957, 'longitude': -8.6602628, 'heading': 139, 'speed': 0.6},
{'latitude': 40.6348007, 'longitude': -8.6602691, 'heading': 136, 'speed': 0.6},
{'latitude': 40.6348068, 'longitude': -8.6602751, 'heading': 152, 'speed': 0.6},
{'latitude': 40.6348134, 'longitude': -8.6602776, 'heading': 173, 'speed': 0.6},
{'latitude': 40.6348193, 'longitude': -8.6602775, 'heading': 187, 'speed': 0.3},
{'latitude': 40.6348227, 'longitude': -8.6602764, 'heading': 196, 'speed': 0.3},
{'latitude': 40.6348226, 'longitude': -8.660276, 'heading': 195, 'speed': 0.3},
{'latitude': 40.6348227, 'longitude': -8.6602757, 'heading': 194, 'speed': 0.3},
{'latitude': 40.6348232, 'longitude': -8.6602753, 'heading': 194, 'speed': 0.3},
